datetime,open,high,low,close,volume
2022-03-10 14:00:00,1.30976,1.31002,1.30834,1.3084,5577
2022-03-10 15:00:00,1.3084,1.30892,1.30816,1.30824,1811
2022-03-10 16:00:00,1.30872,1.30894,1.30828,1.30858,63
2022-03-10 17:00:00,1.30852,1.31046,1.30841,1.31024,2382
2022-03-10 18:00:00,1.31024,1.31042,1.30892,1.30894,3285
2022-03-10 19:00:00,1.30895,1.30918,1.30746,1.30805,5930
2022-03-10 20:00:00,1.30808,1.30942,1.30798,1.30911,3993
2022-03-10 21:00:00,1.30912,1.30934,1.30843,1.30912,3462
2022-03-10 22:00:00,1.30912,1.30924,1.30849,1.30849,2477
2022-03-10 23:00:00,1.3085,1.3087,1.30694,1.3074,5708
2022-03-11 00:00:00,1.3074,1.30968,1.30713,1.30948,7528
2022-03-11 01:00:00,1.30948,1.31022,1.30672,1.30721,10880
2022-03-11 02:00:00,1.3072,1.3087,1.30511,1.30596,15421
2022-03-11 03:00:00,1.30596,1.30771,1.30537,1.30742,10824
2022-03-11 04:00:00,1.30742,1.30921,1.30707,1.3085,8834
2022-03-11 05:00:00,1.30849,1.312,1.30844,1.31082,21147
2022-03-11 06:00:00,1.31082,1.31252,1.30796,1.30924,15580
2022-03-11 07:00:00,1.30924,1.3107,1.30839,1.30946,15841
2022-03-11 08:00:00,1.30946,1.31004,1.30744,1.30834,15755
2022-03-11 09:00:00,1.30834,1.30939,1.30732,1.3086,15477
2022-03-11 10:00:00,1.3086,1.30888,1.30556,1.30626,14464
2022-03-11 11:00:00,1.30625,1.30668,1.30424,1.3043,9781
2022-03-11 12:00:00,1.30429,1.30508,1.30358,1.30388,7371
2022-03-11 13:00:00,1.30389,1.30456,1.30361,1.30386,8922
2022-03-11 14:00:00,1.30383,1.304,1.30276,1.30355,6651
2022-03-11 15:00:00,1.30354,1.30444,1.30288,1.3037,3571
2022-03-13 15:00:00,1.30435,1.30438,1.30308,1.30376,238
2022-03-13 16:00:00,1.30374,1.30492,1.30337,1.30394,2512
2022-03-13 17:00:00,1.30398,1.30526,1.30394,1.30498,4019
2022-03-13 18:00:00,1.30498,1.30501,1.30324,1.30458,6203
2022-03-13 19:00:00,1.30458,1.30488,1.30288,1.30298,6905
2022-03-13 20:00:00,1.30299,1.30312,1.3012,1.30136,7334
2022-03-13 21:00:00,1.30136,1.30162,1.30114,1.30141,4677
2022-03-13 22:00:00,1.3014,1.30242,1.30096,1.3023,3471
2022-03-13 23:00:00,1.30228,1.30228,1.30138,1.30184,4140
2022-03-14 00:00:00,1.30183,1.3025,1.30134,1.30208,4768
2022-03-14 01:00:00,1.30206,1.3043,1.30154,1.30394,8696
